"","cities","lon","lat","NOAAcode"
"1","Puebla",-98.1984744,19.0437227,"766850-99999"
"2","Iztapalapa",-99.0560877,19.3449734,"766793-99999"
"3","Leon",-101.6825081,21.1218598,"765773-99999"
"4","Gustavo A Madero",-99.1222529,19.4911051,"766793-99999"
"5","Mexicali",-115.448325,32.6248622,"760053-99999"
"6","Ecatepec de Morelos",-99.0340962,19.5868005,"766793-99999"
"7","Tlalpan",-99.1670508,19.2884203,"766800-99999"
"8","Monterrey",-100.3152586,25.6802019,"763930-99999"
"9","Merida",-89.6237402,20.9670759,"766440-99999"
"10","Alvaro Obregon",-99.2255753,19.3652982,"766800-99999"
"11","Veracruz",-96.135648,19.1798858,"766920-99999"
"12","Coyoacan",-99.1623319,19.3500942,"766800-99999"
"13","Nezahualcoyotl",-99.0170173,19.4021151,"766793-99999"
"14","Xochimilco",-99.1033663,19.2634938,"766800-99999"
"15","Guadalajara",-103.3383962,20.6720375,"766120-99999"
"16","Culiacan",-107.393395,24.7978965,"764120-99999"
"17","Azcapotzalco",-99.1844166,19.4837824,"766800-99999"
"18","Cuauhtemoc",-99.1502682,19.4376896,"766800-99999"
"19","Toluca",-99.6569007,19.292545,"766750-99999"
"20","Reynosa",-98.2963932,26.0704018,"763503-99999"
"21","Tijuana",-116.9646629,32.5010188,"760013-99999"
"22","Iztacalco",-99.0965875,19.3962535,"766793-99999"
"23","Juarez",-106.4204625,31.6863561,"760753-99999"
"24","Matamoros",-97.5017951,25.8520977,"763993-99999"
"25","Guadalupe",-100.2151753,25.6751114,"763930-99999"
